image_path,distribution,n_points,minimum,maximum,mean,median,std,range,skewness,kurtosis
visual_qa_histograms/example_hists_complex/images/Picture000001.png,linear,6562,-35903.44353846828,-7432.067749419306,-21874.283603898846,-21605.860780671464,4370.592879030392,28471.375789048972,-0.23803469881741848,-0.19772093996230744
visual_qa_histograms/example_hists_complex/images/Picture000002.png,random,9724,66.09721858567352,75.66670539850391,70.94269431442639,70.96987348239247,2.7673369174695943,9.569486812830391,-0.019955637939472668,-1.2004873326294925
visual_qa_histograms/example_hists_complex/images/Picture000003.png,gmm,11,-729437.5707975095,89190.89560092529,-294062.2059320547,-244436.38922290585,284051.5889925858,818628.4663984348,-0.2266520403019186,-1.5456375847279729
visual_qa_histograms/example_hists_complex/images/Picture000004.png,random,4470,2.6872861668068055,3.0950850089156585,2.888371116218004,2.8862761284031206,0.11652350010282442,0.407798842108853,0.05774426704447916,-1.1821911441069695
visual_qa_histograms/example_hists_complex/images/Picture000005.png,linear,1799,75.50002169698334,114.33135790549571,93.54564285301471,93.595057479613,5.893155542299544,38.83133620851237,-0.006146436423842737,-0.05492310399800093
visual_qa_histograms/example_hists_complex/images/Picture000006.png,random,2650,0.5340537992644684,0.6810613786230545,0.6078182632353804,0.6076359503284171,0.04295690423621997,0.1470075793585861,-0.008082266804553585,-1.2212271114830835
visual_qa_histograms/example_hists_complex/images/Picture000007.png,linear,203,-93.14207826533838,-55.40948508585199,-73.32594569551033,-73.72833410505284,7.043128465466673,37.73259317948639,-0.18462924360650443,-0.11137315359679745
visual_qa_histograms/example_hists_complex/images/Picture000008.png,gmm,2,104.50486120344512,109.1802419448482,106.84255157414665,106.84255157414665,2.3376903707015444,4.675380741403089,,
visual_qa_histograms/example_hists_complex/images/Picture000009.png,gmm,4,46.31496238737455,57.13583512484525,52.46409901122496,53.20279926634002,4.500208273463344,10.820872737470701,-0.4029127885433559,-3.5398560201683296
visual_qa_histograms/example_hists_complex/images/Picture000010.png,gmm,26,15.806136891760373,39.82366369844601,25.400983210928516,25.250167731085533,6.411433180395206,24.017526806685638,0.43262319229408586,-0.4265213679098867
